feature,importance
qty,918.5657
lag_price,357.5376
unit_price,302.47577
price_diff_comp2,17.9877
price_vs_cheapest,16.830303
price_diff_comp3,16.152885
product_name_lenght,12.800739
s,8.925632
price_premium,6.491872
customers,5.87346
freight_price,4.920227
comp_min_price,4.560223
fp3,4.55342
comp_1,3.5990727
comp_2,2.7853632
weekday,2.6482663
avg_comp_price,2.382417
price_diff_comp1,2.2230964
product_description_lenght,1.4422591
product_photos_qty,1.3222418
product_weight_g,1.1144857
month_year_01-03-2018,0.9726384
comp_3,0.9677592
product_score,0.9333497
month,0.89049804
fp1,0.72480416
fp2,0.6698864
month_year_01-08-2018,0.6107052
ps2,0.56207126
holiday,0.49112624
month_year_01-05-2017,0.4341508
month_year_01-08-2017,0.4089421
month_year_01-03-2017,0.24237254
volume,0.23496993
month_year_01-06-2017,0.20934412
product_id_computers3,0.13810013
ps1,0.13318217
year,0.12938274
month_year_01-09-2017,0.07748332
weekend,0.07543498
month_year_01-04-2018,0.07055809
month_year_01-07-2018,0.06416659
product_id_watches1,0.048546582
product_id_health8,0.039157957
product_id_computers2,0.03485454
month_year_01-02-2018,0.029314172
ps3,0.027312696
product_id_garden9,0.020917524
product_category_name_computers_accessories,0.019448074
product_id_health1,0.0162788
month_year_01-07-2017,0.016086439
product_id_watches6,0.015337841
month_year_01-05-2018,0.010600236
product_id_garden10,0.009761475
product_id_garden4,0.004945329
month_year_01-04-2017,0.0021763255
month_year_01-10-2017,0.0012890501
product_id_computers1,0.00089702103
product_id_watches7,0.0
product_id_watches3,0.0
product_id_watches5,0.0
product_id_watches4,0.0
product_id_watches2,0.0
product_id_watches8,0.0
product_category_name_garden_tools,0.0
product_category_name_consoles_games,0.0
product_category_name_cool_stuff,0.0
product_category_name_furniture_decor,0.0
month_year_01-06-2018,0.0
product_category_name_health_beauty,0.0
product_category_name_perfumery,0.0
product_category_name_watches_gifts,0.0
month_year_01-01-2018,0.0
month_year_01-02-2017,0.0
month_year_01-11-2017,0.0
product_id_perfumery1,0.0
product_id_perfumery2,0.0
product_id_garden1,0.0
product_id_health9,0.0
product_id_health7,0.0
product_id_cool3,0.0
product_id_cool2,0.0
product_id_cool1,0.0
product_id_consoles2,0.0
product_id_consoles1,0.0
product_id_computers6,0.0
product_id_computers5,0.0
product_id_computers4,0.0
product_id_bed5,0.0
product_id_bed4,0.0
product_id_bed3,0.0
product_id_bed2,0.0
price_vs_comp3,0.0
price_vs_comp2,0.0
price_vs_comp1,0.0
product_id_cool4,0.0
product_id_cool5,0.0
product_id_furniture1,0.0
product_id_garden8,0.0
product_id_health6,0.0
product_id_health5,0.0
product_id_health4,0.0
product_id_health3,0.0
product_id_health2,0.0
product_id_health10,0.0
product_id_garden7,0.0
product_id_furniture2,0.0
product_id_garden6,0.0
product_id_garden5,0.0
product_id_garden3,0.0
product_id_garden2,0.0
product_id_furniture4,0.0
product_id_furniture3,0.0
month_year_01-12-2017,0.0
